# SAXS profile: number of points = 499, q_min = 0.001, q_max = 0.500, delta_q = 0.001
#    q    intensity    error
0.00100    80104936.00000000 43256.66796875
0.00200    80040120.00000000 61230.69531250
0.00300    79932160.00000000 71938.94531250
0.00400    79780768.00000000 71802.69531250
0.00500    79587752.00000000 93117.67187500
0.00600    79351592.00000000 83319.17187500
0.00700    79073464.00000000 132843.42187500
0.00800    78754512.00000000 148846.03125000
0.00900    78393168.00000000 164625.65625000
0.01000    77992408.00000000 167293.71875000
0.01100    77552112.00000000 153553.18750000
0.01200    77072064.00000000 195377.68750000
0.01300    76553456.00000000 225067.17187500
0.01400    75997736.00000000 239392.87500000
0.01500    75405024.00000000 180972.06250000
0.01600    74777304.00000000 228818.56250000
0.01700    74114440.00000000 220119.89062500
0.01800    73418856.00000000 313865.62500000
0.01900    72689744.00000000 261683.09375000
0.02000    71929192.00000000 294550.06250000
0.02100    71138984.00000000 258234.53125000
0.02200    70319312.00000000 291121.96875000
0.02300    69472184.00000000 300119.84375000
0.02400    68598528.00000000 257244.48437500
0.02500    67699056.00000000 396039.46875000
0.02600    66775344.00000000 270440.15625000
0.02700    65829488.00000000 304132.25000000
0.02800    64862328.00000000 338581.37500000
0.02900    63875460.00000000 316183.53125000
0.03000    62869860.00000000 380048.31250000
0.03100    61847720.00000000 356242.87500000
0.03200    60809400.00000000 391308.50000000
0.03300    59756992.00000000 335236.71875000
0.03400    58691288.00000000 369755.12500000
0.03500    57614852.00000000 497792.31250000
0.03600    56528160.00000000 313731.31250000
0.03700    55432700.00000000 379159.68750000
0.03800    54330400.00000000 381399.43750000
0.03900    53222432.00000000 415134.96875000
0.04000    52109596.00000000 384568.84375000
0.04100    50993536.00000000 321259.28125000
0.04200    49876056.00000000 386040.68750000
0.04300    48757880.00000000 386162.43750000
0.04400    47640684.00000000 385889.56250000
0.04500    46525156.00000000 321023.59375000
0.04600    45412808.00000000 352176.34375000
0.04700    44304804.00000000 382793.53125000
0.04800    43202424.00000000 412799.15625000
0.04900    42106464.00000000 410538.03125000
0.05000    41018236.00000000 376547.40625000
0.05100    39938536.00000000 498432.96875000
0.05200    38868468.00000000 370805.18750000
0.05300    37809168.00000000 367505.12500000
0.05400    36761068.00000000 363934.59375000
0.05500    35725056.00000000 330099.53125000
0.05600    34702376.00000000 415387.46875000
0.05700    33693536.00000000 381073.90625000
0.05800    32699776.00000000 289393.03125000
0.05900    31720608.00000000 314034.03125000
0.06000    30757354.00000000 337715.75000000
0.06100    29810354.00000000 332683.56250000
0.06200    28880632.00000000 354798.59375000
0.06300    27967908.00000000 295341.12500000
0.06400    27073172.00000000 316756.12500000
0.06500    26196618.00000000 389019.81250000
0.06600    25338656.00000000 280118.84375000
0.06700    24499484.00000000 249894.75000000
0.06800    23679312.00000000 318605.15625000
0.06900    22878634.00000000 360338.50000000
0.07000    22097246.00000000 282402.81250000
0.07100    21335534.00000000 322593.28125000
0.07200    20593236.00000000 270595.12500000
0.07300    19870704.00000000 242621.31250000
0.07400    19167990.00000000 258767.87500000
0.07500    18484552.00000000 210723.90625000
0.07600    17820986.00000000 267582.12500000
0.07700    17176904.00000000 241163.75000000
0.07800    16552008.00000000 235369.56250000
0.07900    15946287.00000000 210491.00000000
0.08000    15359773.00000000 261269.75000000
0.08100    14791928.00000000 236522.92187500
0.08200    14242798.00000000 265984.25000000
0.08300    13711788.00000000 190045.39062500
0.08400    13198707.00000000 168283.53125000
0.08500    12703428.00000000 213036.48437500
0.08600    12225443.00000000 159542.03125000
0.08700    11764614.00000000 186351.50000000
0.08800    11320219.00000000 181349.92187500
0.08900    10892313.00000000 176455.46875000
0.09000    10480281.00000000 200278.17187500
0.09100    10083703.00000000 180901.64062500
0.09200    9702254.00000000 216554.32812500
0.09300    9335696.00000000 131633.31250000
0.09400    8983151.00000000 153611.89062500
0.09500    8644705.00000000 161828.89062500
0.09600    8319608.50000000 133155.32812500
0.09700    8007613.50000000 117711.92187500
0.09800    7708144.00000000 114465.94531250
0.09900    7420954.50000000 122445.75781250
0.10000    7145372.50000000 119077.63281250
0.10100    6881267.00000000 115811.72656250
0.10200    6628057.50000000 122884.19531250
0.10300    6385324.50000000 179299.92187500
0.10400    6152710.50000000 106595.71093750
0.10500    5929837.00000000 113141.29687500
0.10600    5716203.50000000 100919.57812500
0.10700    5511574.50000000 142860.01562500
0.10800    5315463.50000000 86907.82812500
0.10900    5127530.50000000 126906.38281250
0.11000    4947458.50000000 98850.22656250
0.11100    4774814.00000000 80216.88281250
0.11200    4609410.00000000 101568.35156250
0.11300    4450838.00000000 106553.07031250
0.11400    4298738.50000000 111229.86718750
0.11500    4152845.75000000 79485.46875000
0.11600    4012880.00000000 84511.25781250
0.11700    3878561.00000000 75515.58593750
0.11800    3749588.00000000 73623.16406250
0.11900    3625709.00000000 91367.86718750
0.12000    3506753.00000000 76377.08593750
0.12100    3392395.50000000 80705.09375000
0.12200    3282468.00000000 78730.00000000
0.12300    3176723.50000000 70904.46875000
0.12400    3074958.25000000 92248.75000000
0.12500    2976998.00000000 90024.42187500
0.12600    2882693.75000000 54915.31640625
0.12700    2791787.00000000 69683.00781250
0.12800    2704217.50000000 78489.91406250
0.12900    2619789.50000000 66411.66406250
0.13000    2538344.00000000 59854.15625000
0.13100    2459779.00000000 48703.62890625
0.13200    2383910.00000000 57070.80468750
0.13300    2310708.50000000 46445.24218750
0.13400    2239989.25000000 49895.76171875
