Model_index Run_id Replica_id Frame_id CrossLinkingMassSpectrometryRestraint_Distance_ GaussianEMRestraint_None SAXSRestraint_Score ConnectivityRestraint_None CrossLinkingMassSpectrometryRestraint_Data_Score ExcludedVolumeSphere_None Total_Score
186 1 0 3637 1.00 2.93 825.04 0.63 96.92 6.67 93.48
187 1 0 3638 1.00 2.93 891.44 1.94 96.92 3.77 91.77
188 1 0 3639 1.00 2.91 888.92 0.63 95.85 2.91 89.23
189 1 0 3640 1.00 2.91 924.52 1.53 95.85 2.03 88.51
190 1 0 3642 1.00 2.97 903.82 0.13 96.12 3.08 88.44
191 1 0 3643 1.00 2.88 918.29 0.59 95.71 3.24 88.57
192 1 0 3645 1.00 2.89 903.67 2.93 95.99 3.19 92.69
193 1 0 3646 1.00 2.84 818.91 1.62 96.27 8.51 95.37
194 1 0 7293 1.00 2.91 894.51 0.46 95.37 4.87 89.76
195 1 0 7299 1.00 2.86 914.81 2.56 95.42 5.06 92.04
196 1 0 7300 1.00 2.91 872.53 0.17 94.94 10.26 94.73
197 1 0 7301 1.00 2.94 845.00 0.83 94.97 8.64 93.52
198 1 0 7302 1.00 2.96 859.78 1.33 95.08 7.97 93.78
199 1 0 7303 1.00 2.92 896.24 0.72 95.26 6.98 92.08
200 1 0 7304 1.00 2.91 874.67 0.14 95.26 6.98 91.43
201 1 0 7305 1.00 2.99 788.24 3.21 95.49 2.24 91.10
202 1 0 7306 1.00 2.99 857.46 1.18 95.49 4.02 89.85
203 1 0 7358 1.00 2.58 905.24 5.90 97.14 7.74 99.49
204 1 0 7366 1.00 2.45 836.46 1.72 97.16 8.05 95.61
205 1 0 7367 1.00 2.65 847.19 0.19 100.12 5.41 94.51
206 1 0 7368 1.00 2.53 865.30 3.29 95.48 4.94 92.57
207 1 0 7369 1.00 2.54 788.75 1.97 95.48 7.50 93.86
208 1 0 7370 1.00 2.52 795.28 0.52 95.48 3.91 92.92
209 1 0 7371 1.00 2.44 858.42 2.75 95.90 3.93 95.01
210 1 0 7372 1.00 2.54 845.90 0.36 95.29 3.82 89.51
211 1 0 7373 1.00 2.34 815.23 0.47 95.24 11.48 95.67
212 1 0 7621 1.00 2.08 929.96 4.16 94.94 9.42 97.67
213 1 0 7624 1.00 2.51 913.21 3.31 95.52 10.73 98.86
214 1 0 7944 1.00 2.50 870.53 0.92 96.42 3.14 89.13
215 1 0 7945 1.00 2.50 876.51 1.58 96.42 3.30 89.94
216 1 0 7948 1.00 2.26 826.38 1.52 95.54 3.10 88.56
217 1 0 7949 1.00 2.26 798.21 0.29 96.52 3.87 89.31
218 1 0 7950 1.00 2.38 880.15 1.20 95.05 2.80 88.14
219 1 0 7951 1.00 2.38 854.81 0.48 95.05 2.77 86.82
220 1 0 7955 1.00 2.53 890.93 2.75 95.35 4.42 91.22
221 1 0 7956 1.00 2.69 888.46 1.28 94.94 6.79 92.00
222 1 0 7957 1.00 2.69 853.40 2.16 95.19 5.39 92.24
223 1 0 7960 1.00 2.73 914.67 5.51 95.13 5.22 95.37
224 1 0 8148 1.00 2.22 909.35 0.35 94.94 5.59 89.57
225 1 0 8149 1.00 2.19 857.75 2.21 95.57 5.94 93.72
226 1 0 8150 1.00 2.21 925.78 0.78 95.09 5.30 89.52
227 1 0 8151 1.00 2.03 899.88 1.83 95.39 2.48 88.58
228 1 0 8152 1.00 2.03 910.36 0.00 95.39 3.71 87.27
229 1 0 8153 1.00 2.05 907.85 1.40 95.39 4.43 89.52
230 1 0 8154 1.00 2.04 862.79 0.98 95.39 2.57 87.12
231 1 0 8155 1.00 2.03 881.36 4.22 95.39 2.65 90.49
232 1 0 8156 1.00 2.05 929.01 3.01 95.39 2.58 89.16
233 1 0 8157 1.00 2.06 868.42 1.35 95.39 1.93 88.47
234 1 0 8158 1.00 2.07 907.51 1.45 95.39 4.16 89.21
235 1 0 8869 1.00 2.79 927.75 0.38 95.25 4.04 88.59
236 1 0 8871 1.00 2.83 872.78 1.02 95.47 5.70 91.16
237 1 0 8872 1.00 2.83 909.31 2.12 95.47 7.61 94.56
238 1 0 8951 1.00 1.29 929.54 0.78 95.23 4.38 88.19
239 1 0 8959 1.00 1.90 853.13 2.83 95.27 7.88 96.77
240 1 0 8960 1.00 1.92 834.62 1.18 97.22 6.02 92.47
241 1 0 8961 1.00 1.95 808.42 0.73 94.94 7.50 91.26
242 1 0 8962 1.00 1.93 858.40 0.14 96.70 4.96 89.87
243 1 0 8963 1.00 1.84 788.92 0.12 95.25 6.44 89.79
244 1 0 8964 1.00 1.82 743.71 1.70 97.29 5.18 93.64
245 1 0 8965 1.00 1.78 807.19 1.35 95.98 8.98 94.58
246 1 0 8966 1.00 1.80 790.76 1.96 95.39 11.30 96.59
247 1 0 8967 1.00 1.78 745.63 2.76 95.26 8.16 94.10
248 1 0 8968 1.00 1.65 667.42 0.45 94.94 8.93 92.46
249 1 0 8969 1.00 1.64 724.70 0.84 94.94 8.22 92.06
250 1 0 8970 1.00 1.67 695.43 1.94 94.94 7.30 91.99
251 1 0 8971 1.00 1.67 696.10 7.18 95.05 5.54 95.58
252 1 0 8972 1.00 1.50 719.01 0.52 95.53 2.79 87.12
253 1 0 8973 1.00 1.51 768.82 1.04 95.19 5.75 89.63
254 1 0 8975 1.00 1.40 736.70 0.71 97.44 6.74 92.44
255 1 0 8976 1.00 1.42 698.13 0.52 97.82 4.50 90.39
256 1 0 8977 1.00 1.40 695.99 4.67 95.53 7.59 95.42
257 1 0 8978 1.00 1.39 575.71 5.93 97.06 8.02 98.54
258 1 0 8979 1.00 1.56 650.37 0.00 96.42 3.60 87.72
259 1 0 8980 1.00 1.73 646.96 0.93 95.75 3.46 88.00
260 1 0 8981 1.00 1.72 559.03 2.50 95.75 3.23 89.37
261 1 0 8982 1.00 1.75 579.11 2.62 97.59 4.34 92.45
262 1 0 8983 1.00 1.79 605.52 3.61 98.36 3.76 94.73
263 1 0 8984 1.00 1.89 613.43 3.86 100.17 3.28 95.34
264 1 0 8985 1.00 1.95 581.79 3.82 95.01 4.89 92.64
265 1 0 8986 1.00 1.96 537.12 0.98 95.01 4.39 88.59
266 1 0 8987 1.00 1.79 543.46 2.11 97.21 4.98 92.22
267 1 0 8988 1.00 1.81 588.04 6.48 98.24 5.43 100.98
268 1 0 8989 1.00 1.73 673.32 3.23 100.35 2.91 94.97
269 1 0 8990 1.00 1.73 647.98 1.35 100.35 2.45 92.63
270 1 0 8995 1.00 1.79 903.76 3.15 95.87 5.74 92.72
271 1 0 8997 1.00 2.35 897.31 0.06 95.76 6.32 90.63
272 1 0 8998 1.00 2.41 867.80 0.06 96.97 7.27 92.91
273 1 0 8999 1.00 2.15 920.95 0.52 95.58 9.75 95.35
274 1 0 9000 1.00 2.18 859.95 1.44 95.26 8.53 95.15
275 1 0 9013 1.00 1.94 898.53 0.48 95.08 4.41 88.05
276 1 0 9015 1.00 1.83 827.06 4.11 96.61 3.45 92.14
277 1 0 9016 1.00 1.80 874.09 0.00 99.75 1.71 95.59
278 1 0 9070 1.00 2.58 892.55 1.36 95.26 2.83 88.20
279 1 0 9071 1.00 2.56 899.28 0.46 95.26 3.78 88.19
280 1 0 9072 1.00 2.55 875.73 3.76 95.26 5.11 92.88
281 1 0 9073 1.00 2.57 897.15 0.00 95.26 3.63 87.60
282 1 0 9074 1.00 2.51 901.95 0.00 96.81 2.10 87.56
283 1 0 9075 1.00 2.52 925.40 0.25 96.81 3.13 90.31
284 1 0 9076 1.00 2.53 927.36 0.00 96.81 3.64 91.82
285 1 0 9077 1.00 2.47 905.06 3.14 96.76 7.53 97.23
286 1 0 9078 1.00 2.70 889.16 1.45 96.09 4.63 91.02
287 1 0 9080 1.00 2.31 875.35 0.42 95.05 3.91 87.84
288 1 0 9181 1.00 1.23 876.91 1.98 96.38 4.73 90.46
289 1 0 9182 1.00 1.27 811.87 1.93 96.34 1.72 87.40
290 1 0 9183 1.00 1.24 850.75 1.67 96.30 3.82 90.80
291 1 0 9184 1.00 1.27 889.65 1.25 97.86 1.74 88.65
292 1 0 9185 1.00 1.26 840.08 0.00 97.86 1.30 89.17
293 1 0 9186 1.00 1.27 797.26 0.92 97.86 1.61 87.80
294 1 0 9187 1.00 1.20 844.19 1.02 95.60 3.80 87.77
295 1 0 9188 1.00 1.18 883.89 4.04 95.09 3.31 90.92
296 1 0 9215 1.00 1.11 917.95 0.71 95.96 4.69 88.61
297 1 0 9217 1.00 1.12 908.44 3.88 95.47 2.92 89.53
298 1 0 9218 1.00 1.13 892.83 0.00 95.47 9.00 91.76
299 1 0 9219 1.00 1.13 914.84 0.06 98.13 7.20 93.39
300 1 0 9221 1.00 1.32 882.93 0.13 96.51 2.63 86.72
301 1 0 9222 1.00 1.31 893.48 0.61 96.51 2.61 87.17
302 1 0 9223 1.00 1.31 871.29 1.56 96.51 2.98 88.69
303 1 0 9224 1.00 1.32 929.48 1.63 96.51 3.50 89.09
304 1 0 9279 1.00 1.19 920.43 0.00 95.07 7.22 89.62
305 1 0 9286 1.00 1.08 913.66 0.53 95.50 5.67 89.02
306 1 0 9413 1.00 2.86 905.36 2.78 95.14 5.62 92.54
307 1 0 9427 1.00 2.64 826.42 1.80 95.49 4.86 91.72
308 1 0 9428 1.00 2.65 898.13 0.84 95.49 4.90 90.52
309 1 0 9429 1.00 2.67 892.18 0.46 95.65 7.01 91.93
310 1 0 9430 1.00 2.66 897.49 0.70 95.65 2.79 87.94
311 1 0 9431 1.00 2.75 867.42 0.00 97.83 3.73 90.45
312 1 0 9432 1.00 2.74 890.04 0.01 97.83 2.36 89.09
313 1 0 9434 1.00 2.58 885.64 0.44 95.73 8.92 93.81
314 1 0 9436 1.00 2.63 910.34 0.43 94.94 11.08 95.22
315 1 0 9437 1.00 2.92 910.82 1.87 95.59 5.91 93.42
316 1 0 9438 1.00 2.97 900.49 1.58 96.93 7.32 94.94
317 1 0 9439 1.00 2.83 901.35 0.29 97.97 2.41 89.75
318 1 0 9440 1.00 2.95 851.78 0.18 99.11 4.75 93.13
319 1 0 9441 1.00 2.94 804.60 0.81 102.95 3.44 96.28
320 1 0 9442 1.00 2.95 795.24 0.94 102.95 6.69 100.85
321 1 0 9443 1.00 2.77 798.43 0.07 96.27 10.61 95.86
322 1 0 9444 1.00 2.81 905.39 0.28 95.53 10.80 95.56
323 1 0 9453 1.00 2.72 903.42 4.81 95.67 4.60 94.09
324 1 0 9460 1.00 2.82 844.38 1.37 94.94 3.66 89.39
325 1 0 9463 1.00 2.87 911.01 0.91 95.00 4.00 88.91
326 1 0 9468 1.00 3.03 907.79 6.29 95.31 6.00 96.76
327 1 0 9469 1.00 2.68 843.21 0.19 95.76 5.95 90.72
328 1 0 9470 1.00 2.68 902.42 0.42 95.76 3.75 88.89
329 1 0 9471 1.00 2.65 727.99 1.54 96.97 2.36 89.67
330 1 0 9472 1.00 2.63 694.86 2.71 95.14 4.59 91.20
331 1 0 9473 1.00 2.71 752.62 1.28 95.94 5.10 91.17
332 1 0 9474 1.00 2.67 687.00 2.44 97.60 3.61 92.45
333 1 0 9475 1.00 2.66 680.26 0.92 97.60 1.21 88.52
334 1 0 9476 1.00 2.70 766.59 7.45 98.70 1.23 96.23
335 1 0 9477 1.00 2.58 638.08 3.22 95.63 1.07 89.15
336 1 0 9478 1.00 2.54 666.89 2.00 95.64 5.74 92.86
337 1 0 9483 1.00 2.19 875.08 0.13 98.56 2.08 89.10
338 1 0 9484 1.00 2.18 853.52 1.16 98.56 4.40 93.34
339 1 0 9485 1.00 2.34 882.99 2.05 95.75 8.75 95.02
340 1 0 9486 1.00 2.35 923.70 1.62 98.12 5.57 93.80
341 1 0 9487 1.00 2.34 892.33 1.64 98.12 1.93 90.16
342 1 0 9492 1.00 2.47 867.56 0.53 94.94 5.81 91.04
343 1 0 9493 1.00 2.56 786.13 3.29 95.59 2.79 90.53
344 1 0 9494 1.00 2.65 806.27 1.40 97.77 3.08 91.46
345 1 0 9495 1.00 2.49 863.97 0.43 102.15 1.51 92.86
346 1 0 9496 1.00 2.63 801.51 4.17 99.38 2.65 95.49
347 1 0 9497 1.00 2.58 753.00 0.06 95.38 3.32 87.48
348 1 0 9498 1.00 2.56 698.57 0.95 95.38 3.83 88.86
349 1 0 9499 1.00 2.66 657.57 0.30 94.97 4.09 88.15
350 1 0 9500 1.00 2.58 805.55 3.48 96.22 3.17 91.59
351 1 0 9501 1.00 2.60 699.61 1.63 98.07 1.53 92.28
352 1 0 9502 1.00 2.68 807.13 1.13 96.28 3.26 89.48
353 1 0 9503 1.00 2.54 823.53 0.26 98.68 1.43 89.43
354 1 0 9504 1.00 2.54 849.49 2.88 99.44 3.40 95.37
355 1 0 9506 1.00 2.42 924.03 0.34 95.18 6.50 91.32
356 1 0 9514 1.00 3.05 873.62 0.15 94.99 4.80 89.42
357 1 0 9521 1.00 3.00 828.12 0.00 95.18 6.46 90.85
358 1 0 9522 1.00 2.98 890.23 1.71 95.01 6.44 92.27
359 1 0 9524 1.00 2.60 847.01 2.12 95.68 1.49 88.03
360 1 0 9525 1.00 2.61 855.95 1.10 95.68 2.97 89.33
361 1 0 9526 1.00 2.62 762.37 1.52 95.68 4.12 90.08
362 1 0 9527 1.00 2.50 691.09 2.14 95.24 1.74 87.86
363 1 0 9528 1.00 2.65 688.58 0.07 95.79 3.15 87.80
364 1 0 9529 1.00 2.66 693.73 3.81 95.79 2.06 92.35
365 1 0 9530 1.00 2.66 776.09 0.38 97.26 2.57 92.65
366 1 0 9531 1.00 2.82 764.51 1.85 101.44 1.88 94.13
367 1 0 9532 1.00 2.78 777.70 2.99 96.84 2.96 91.71
368 1 0 9794 1.00 2.97 914.19 0.03 94.99 7.19 91.32
369 1 0 9925 1.00 2.61 920.85 3.18 95.17 4.14 91.46
370 1 0 9930 1.00 2.58 913.52 0.17 95.54 5.30 89.73
371 1 0 9931 1.00 2.60 925.37 0.34 96.55 4.25 89.87
372 1 0 9932 1.00 2.57 910.31 1.00 96.55 1.58 87.93
