Model_index Run_id Replica_id Frame_id CrossLinkingMassSpectrometryRestraint_Distance_ GaussianEMRestraint_None SAXSRestraint_Score ConnectivityRestraint_None CrossLinkingMassSpectrometryRestraint_Data_Score ExcludedVolumeSphere_None Total_Score
0 1 0 363 1.00 2.70 911.56 2.54 96.99 5.04 93.45
1 1 0 364 1.00 2.69 855.86 1.83 96.99 1.42 89.07
2 1 0 365 1.00 2.73 876.56 1.07 96.63 1.69 88.26
3 1 0 366 1.00 2.65 929.17 2.47 96.24 1.77 89.26
4 1 0 385 1.00 2.44 897.82 0.63 97.11 4.89 91.54
5 1 0 386 1.00 2.50 865.60 2.45 95.44 3.22 89.82
6 1 0 387 1.00 2.50 913.82 0.03 95.44 1.59 85.70
7 1 0 395 1.00 2.90 883.53 0.99 95.94 2.45 88.43
8 1 0 400 1.00 3.09 911.54 0.00 97.82 1.34 88.72
9 1 0 401 1.00 3.06 919.12 2.45 95.87 5.75 93.27
10 1 0 596 1.00 2.72 904.29 1.00 96.46 6.24 92.66
11 1 0 597 1.00 2.73 830.42 1.01 96.46 5.44 92.00
12 1 0 601 1.00 3.03 870.45 1.30 95.25 5.53 91.24
13 1 0 671 1.00 2.50 836.88 0.20 98.87 2.47 90.83
14 1 0 672 1.00 2.98 769.04 0.83 95.55 6.41 92.81
15 1 0 673 1.00 3.02 758.37 0.05 95.21 7.64 92.06
16 1 0 674 1.00 3.00 773.32 1.38 94.97 6.97 93.29
17 1 0 675 1.00 2.97 720.01 4.81 95.84 4.44 95.18
18 1 0 676 1.00 3.04 713.20 3.51 96.06 4.59 93.32
19 1 0 677 1.00 3.04 773.99 2.46 96.06 6.15 93.84
20 1 0 678 1.00 3.02 787.78 3.03 97.28 4.25 93.83
21 1 0 681 1.00 2.88 827.65 2.86 96.01 4.93 95.21
22 1 0 682 1.00 2.89 846.48 2.26 96.01 4.44 91.72
23 1 0 683 1.00 2.89 750.73 0.69 96.01 12.37 98.10
24 1 0 684 1.00 2.89 819.03 1.01 98.91 5.44 96.17
25 1 0 685 1.00 2.82 839.58 1.18 96.70 7.07 93.99
26 1 0 686 1.00 2.82 909.03 0.20 96.70 5.30 92.65
27 1 0 689 1.00 2.66 837.51 1.01 96.23 4.03 90.07
28 1 0 690 1.00 2.66 803.83 4.65 96.23 4.60 94.35
29 1 0 691 1.00 2.77 904.85 3.69 95.38 5.91 93.89
30 1 0 705 1.00 2.07 766.90 5.15 96.52 5.37 95.24
31 1 0 706 1.00 2.07 761.36 1.46 96.52 7.07 93.26
32 1 0 707 1.00 2.22 705.07 0.27 97.00 11.50 97.12
33 1 0 708 1.00 2.29 703.40 1.73 95.81 11.52 97.49
34 1 0 711 1.00 2.22 712.37 1.56 97.67 6.89 95.41
35 1 0 712 1.00 2.23 673.38 0.97 97.67 5.73 92.74
36 1 0 713 1.00 2.13 571.21 2.10 95.60 8.10 94.07
37 1 0 714 1.00 2.13 560.54 5.16 95.60 9.34 98.37
38 1 0 715 1.00 1.95 432.41 5.83 98.59 4.16 97.23
39 1 0 716 1.00 1.95 450.28 0.65 98.59 3.95 91.28
40 1 0 717 1.00 1.95 466.29 5.28 97.35 3.48 94.19
41 1 0 718 1.00 1.93 443.30 7.38 95.20 6.49 97.14
42 1 0 719 1.00 1.77 511.71 6.36 95.32 6.00 96.07
43 1 0 720 1.00 1.74 498.98 2.09 96.46 4.31 91.15
44 1 0 721 1.00 1.91 547.34 1.81 97.99 2.99 93.29
45 1 0 722 1.00 1.89 558.67 2.14 96.60 5.18 92.78
46 1 0 723 1.00 2.08 738.36 0.53 96.05 6.29 91.08
47 1 0 724 1.00 2.07 639.58 0.17 96.05 10.29 96.99
48 1 0 725 1.00 1.65 826.92 0.23 95.93 4.98 89.28
49 1 0 726 1.00 1.75 817.67 2.87 96.50 8.03 95.71
50 1 0 727 1.00 1.53 580.55 10.46 95.60 4.89 99.71
51 1 0 728 1.00 1.42 556.18 2.10 94.94 7.04 91.64
52 1 0 729 1.00 1.50 791.04 4.21 95.17 9.75 96.85
53 1 0 730 1.00 1.50 779.83 3.21 95.17 7.87 93.88
54 1 0 731 1.00 1.72 736.60 6.25 97.15 3.86 95.20
55 1 0 732 1.00 1.73 829.01 4.85 97.15 4.92 94.79
56 1 0 733 1.00 1.68 654.67 0.96 95.32 7.59 91.69
57 1 0 734 1.00 1.68 723.51 2.46 95.32 6.95 94.32
58 1 0 735 1.00 1.92 754.39 4.06 94.99 6.50 93.60
59 1 0 736 1.00 1.95 839.49 2.19 97.63 2.69 90.59
60 1 0 742 1.00 1.77 920.21 1.90 98.23 8.08 96.12
61 1 0 743 1.00 1.83 860.46 2.49 96.65 8.95 97.06
62 1 0 744 1.00 1.76 888.44 2.09 95.65 7.64 94.60
63 1 0 745 1.00 1.75 925.40 2.49 95.65 8.22 94.24
64 1 0 746 1.00 1.57 924.52 0.69 97.97 8.23 94.60
65 1 0 747 1.00 1.64 810.33 2.42 94.96 15.80 102.11
66 1 0 748 1.00 1.63 795.93 0.17 96.78 13.04 97.85
67 1 0 749 1.00 1.31 871.11 0.68 94.94 8.58 91.65
68 1 0 750 1.00 1.38 923.43 0.24 96.12 4.57 88.77
69 1 0 752 1.00 1.39 908.43 6.03 95.28 7.05 95.89
70 1 0 753 1.00 1.24 834.54 1.12 101.21 2.41 92.12
71 1 0 754 1.00 1.24 822.17 0.76 97.65 3.11 91.50
72 1 0 755 1.00 1.24 880.08 0.04 97.65 4.00 90.15
73 1 0 756 1.00 1.41 764.35 0.71 95.19 2.69 86.50
74 1 0 757 1.00 1.43 926.62 1.13 96.16 4.89 90.71
75 1 0 759 1.00 1.49 882.34 0.09 95.72 3.72 87.16
76 1 0 761 1.00 1.27 871.56 0.00 96.03 3.99 87.56
77 1 0 800 1.00 1.02 899.34 4.25 97.03 4.33 92.77
78 1 0 801 1.00 1.08 886.90 1.27 96.75 4.49 89.73
79 1 0 971 1.00 1.03 864.77 0.00 95.93 8.07 91.24
80 1 0 1070 1.00 1.08 905.93 0.57 95.75 1.36 85.08
81 1 0 1073 1.00 1.20 868.61 0.57 95.82 5.86 90.44
82 1 0 1074 1.00 1.16 910.88 3.06 95.19 5.95 91.49
83 1 0 1075 1.00 1.14 889.76 2.24 95.19 4.21 89.10
84 1 0 1603 1.00 3.07 907.70 0.02 94.94 5.73 90.03
85 1 0 1604 1.00 3.07 872.35 1.13 94.94 4.23 91.73
86 1 0 1605 1.00 3.09 918.57 0.07 94.94 6.27 90.50
87 1 0 1612 1.00 2.59 908.45 0.13 95.12 5.01 89.00
88 1 0 1613 1.00 2.76 876.99 0.01 96.76 5.15 92.76
89 1 0 1614 1.00 2.66 666.08 0.62 96.71 5.18 91.30
90 1 0 1615 1.00 2.67 741.62 2.24 96.71 6.19 93.95
91 1 0 1622 1.00 2.81 801.96 0.42 94.94 7.72 92.89
92 1 0 1623 1.00 2.81 751.77 5.92 94.94 6.39 96.26
93 1 0 1624 1.00 2.98 793.31 0.50 95.52 7.34 92.52
94 1 0 1625 1.00 2.96 854.50 1.01 95.99 5.76 93.02
95 1 0 1626 1.00 2.94 925.91 0.00 98.01 2.56 89.65
96 1 0 1627 1.00 2.93 925.04 0.31 98.01 1.84 89.23
97 1 0 1628 1.00 2.94 895.22 2.34 97.78 3.59 93.24
98 1 0 1629 1.00 2.90 928.05 0.72 96.08 2.83 88.76
99 1 0 1630 1.00 2.99 883.67 1.44 96.99 4.06 91.62
100 1 0 1631 1.00 2.98 850.23 3.41 97.47 2.42 92.41
101 1 0 1633 1.00 2.95 717.64 2.13 95.40 9.46 96.08
102 1 0 1634 1.00 2.86 925.33 1.69 95.82 8.26 95.44
103 1 0 1635 1.00 2.86 772.83 1.11 96.61 4.20 92.35
104 1 0 1636 1.00 2.85 776.87 1.22 96.61 4.03 91.08
105 1 0 1637 1.00 2.80 754.54 2.25 95.32 3.09 89.60
106 1 0 1638 1.00 2.80 672.93 3.22 95.32 3.13 90.61
107 1 0 1639 1.00 2.80 700.67 0.74 95.32 2.79 87.78
108 1 0 1640 1.00 2.80 714.75 0.46 95.32 2.60 88.37
109 1 0 1641 1.00 2.89 668.74 0.45 95.59 7.85 92.92
110 1 0 1642 1.00 2.84 671.35 2.77 95.09 8.00 94.83
111 1 0 1643 1.00 2.68 710.92 0.31 95.22 8.81 93.16
112 1 0 1644 1.00 2.71 751.01 0.94 95.38 7.28 95.58
113 1 0 1645 1.00 2.64 726.63 0.08 96.24 8.77 93.86
114 1 0 1646 1.00 2.64 743.31 0.18 95.65 6.14 90.75
115 1 0 1647 1.00 2.63 920.65 1.46 94.94 11.06 98.48
116 1 0 1648 1.00 2.62 917.89 0.46 94.95 7.37 91.61
117 1 0 2836 1.00 2.54 929.39 3.57 95.54 6.40 94.19
118 1 0 2837 1.00 2.68 901.91 1.70 101.36 3.89 97.37
119 1 0 2838 1.00 2.61 867.05 0.00 101.94 2.66 94.15
120 1 0 2839 1.00 2.61 867.09 0.68 100.52 8.41 98.36
121 1 0 2840 1.00 2.46 868.74 9.93 95.18 4.72 99.74
122 1 0 2841 1.00 2.45 822.74 6.73 96.10 2.95 95.02
123 1 0 2842 1.00 2.24 826.26 1.10 95.12 6.91 91.52
124 1 0 2843 1.00 2.28 838.67 0.22 94.94 5.29 89.20
125 1 0 2844 1.00 2.42 917.42 0.93 96.08 3.99 89.56
126 1 0 2893 1.00 2.61 903.68 0.00 94.94 3.80 87.48
127 1 0 2897 1.00 2.69 913.40 2.40 96.60 6.31 96.24
128 1 0 2904 1.00 3.00 898.76 1.29 96.05 5.15 91.74
129 1 0 2911 1.00 3.00 912.42 2.19 95.28 5.70 92.31
130 1 0 2914 1.00 3.09 854.05 0.04 99.10 6.53 94.89
131 1 0 2915 1.00 3.04 801.16 0.00 96.51 10.15 95.84
132 1 0 2942 1.00 2.43 864.04 0.51 96.45 3.64 90.90
133 1 0 2943 1.00 2.33 772.10 4.15 97.00 4.41 94.03
134 1 0 2946 1.00 2.39 838.58 0.07 96.86 5.78 91.54
135 1 0 2947 1.00 2.42 856.38 0.52 96.86 7.99 95.54
136 1 0 2954 1.00 2.87 836.30 0.21 96.04 3.50 88.76
137 1 0 2955 1.00 2.87 854.39 3.02 96.04 4.12 92.19
138 1 0 2960 1.00 2.76 929.15 0.63 95.61 5.36 90.50
139 1 0 3151 1.00 2.24 900.79 0.04 97.31 3.73 89.70
140 1 0 3156 1.00 2.22 898.49 0.59 95.34 3.35 87.65
141 1 0 3163 1.00 2.03 928.11 0.16 99.19 3.17 90.68
142 1 0 3165 1.00 1.96 921.13 1.91 95.10 4.74 90.19
143 1 0 3170 1.00 2.95 884.19 3.43 97.34 3.79 93.65
144 1 0 3171 1.00 2.94 904.60 2.04 97.34 4.41 92.87
145 1 0 3173 1.00 2.95 908.17 3.30 95.67 3.78 92.69
146 1 0 3178 1.00 2.80 878.02 0.18 96.09 4.69 90.71
147 1 0 3213 1.00 2.62 898.52 2.27 97.86 4.61 93.59
148 1 0 3219 1.00 2.74 852.61 2.24 95.30 10.57 96.98
149 1 0 3220 1.00 2.72 780.06 0.27 95.30 7.20 91.63
150 1 0 3221 1.00 2.83 788.71 2.43 95.20 4.63 91.23
151 1 0 3222 1.00 2.79 805.13 0.56 95.38 4.47 90.90
152 1 0 3223 1.00 2.69 823.98 0.91 95.10 3.61 88.45
153 1 0 3224 1.00 2.69 811.19 0.00 95.10 2.23 86.43
154 1 0 3225 1.00 2.69 835.72 0.00 95.10 2.19 86.35
155 1 0 3226 1.00 2.66 833.25 0.98 96.13 5.30 91.20
156 1 0 3227 1.00 2.69 926.89 3.71 100.33 2.48 95.89
157 1 0 3228 1.00 2.44 897.88 0.24 95.12 7.52 91.77
158 1 0 3229 1.00 2.46 900.18 0.00 96.70 6.35 91.65
159 1 0 3230 1.00 2.40 894.99 0.90 94.94 5.44 89.81
160 1 0 3310 1.00 3.08 866.35 1.86 95.10 10.27 99.49
161 1 0 3313 1.00 2.75 719.75 4.71 97.48 7.77 98.85
162 1 0 3314 1.00 2.74 770.99 1.04 97.06 3.41 91.20
163 1 0 3315 1.00 2.77 842.92 5.25 95.61 4.97 94.75
164 1 0 3319 1.00 2.60 922.35 0.47 96.97 7.47 93.66
165 1 0 3321 1.00 2.69 908.75 1.88 94.94 7.67 93.78
166 1 0 3322 1.00 2.83 809.73 0.28 97.85 2.75 89.92
167 1 0 3323 1.00 2.83 776.15 6.27 97.85 1.84 95.50
168 1 0 3324 1.00 2.73 843.93 1.12 96.62 3.62 90.98
169 1 0 3325 1.00 2.68 900.13 2.22 96.99 2.39 90.42
170 1 0 3473 1.00 2.99 926.85 1.53 95.19 4.06 89.91
171 1 0 3476 1.00 3.01 912.94 2.88 95.01 4.74 96.53
172 1 0 3515 1.00 2.97 824.49 3.71 95.14 8.13 96.08
173 1 0 3516 1.00 2.95 731.58 2.56 96.99 7.43 96.07
174 1 0 3545 1.00 3.09 917.33 1.33 95.66 5.39 93.19
175 1 0 3620 1.00 2.92 843.91 1.71 95.75 3.60 90.12
176 1 0 3621 1.00 2.96 805.62 5.89 95.38 5.02 95.83
177 1 0 3622 1.00 2.94 812.53 1.64 95.38 5.71 93.13
178 1 0 3623 1.00 2.95 906.80 0.30 96.98 1.51 87.88
179 1 0 3625 1.00 2.81 892.32 0.32 94.94 8.09 92.30
180 1 0 3626 1.00 2.81 874.03 1.46 96.14 9.20 95.74
181 1 0 3632 1.00 2.89 929.38 1.82 95.78 2.09 88.72
182 1 0 3633 1.00 2.93 826.04 4.19 95.57 0.93 91.70
183 1 0 3634 1.00 2.94 793.89 3.79 95.57 1.04 89.48
184 1 0 3635 1.00 2.97 883.00 2.09 95.57 3.67 90.64
185 1 0 3636 1.00 3.08 879.04 0.50 97.19 1.47 89.10
